int	string	string
1274	Mateo Santiao	Rico's murderer who has been hiding out in the village under the guise of someone else for a decade.
1275	Patchy Racket	A raccoon with a mission who dreams of becoming an intelligence agent. Bad guys beware.
1276	Foxy Hyena	A devious hyena who cares for nothing but making fortunes for himself who gets pulled into something bigger than he can handle.
1277	Seal Pawn	A seal who has the key to the whole mystery - if only he could remember what it was.
1278	Lady Bovine	An evil cow who pretends to be harmless bovine but loves scheming terrible plots. Is she the most deadly of them all?
1279	Renato Scaglia	A young man eager to learn more about becoming a man but does not know how to go about doing that.
1280	Malena Dorina	A seductive war widow who longs for a man's touch and some excitement in her tranquil life.
1281	Scarudo Beppu	An evil man who seeks to fulfill himself with enforcing his power over people. He has a tendency to go after younger women.
1282	Elle Wramp	After losing her job, Elle is forced to take an assistant job at a fashion magazine. She wants to quit but her crazy boss will not leave her alone.
1283	Jodie Frank	Jodie is the best of the best in fashion. Her new assistant, Elle, and her inability to understand fashion triggers a dark side in her.
1284	Tippy Geld	Tippy is one of the junior fashion editors and puts herself on the line to help Elle deal with the hell that her boss is bringing upon her.
1285	Tim Star	Tim is a hidden genius that doesn't realize his potential. One day he stumbles on a philosophical problem that he answers and all is revealed.
1286	Cory Stammers	One of the philosophy professors who posed the question that Tim solved. He wants to bring Tim under his wing and help him grow.
1287	Mira Alf	Mira has always noticed Tim but he was always too shy to approach her in that way. Now that he's thrown into the public's eye, will that change?
1288	Billy Robbins	Another professor that wants nothing to do with Tim and wants him out of their philosophical circles.
1289	Larry Corbin	Tim's best friend. Things go a little haywire between them when Tim is asked to choose between his current life and philosophy.
1290	Bill Robbs	Bill is an innocent man that was framed for the murder of his wife. He has no choice but to survive... and break out of prison.
1291	Morgan Free	Bill's cellmate serving life for an unknown crime. He refuses to talk about it but he seems loyal and worth making friends with.
1292	Jessie Torn	The prison warden set on making Bill's life a living hell. Only when Bill offers Jessie a crooked guard up as a peace offering do things change.
1293	Belle Drew	Belle is the CEO of a financial startup. Walking home one night, she is abducted and assaulted. She can't let it go and vows to find the culprit.
1294	Marco Rube	He has had problems with dealing with power and struggles and his life. It has led him to committing sexual crimes.
1295	Kane Vix	One of Isabelle's close workmates. After the incident, he tries to console her but she cannot see past the hot anger of vengeance.
1296	Faustina Burke	Faustina is Belle's stepmother. She is somewhat of a man-hater and offers her help to Belle to find the man and take him down.
1297	Redford Wills	The smartest kid at boarding school. He has a loyal group of friends and was named most likely to succeed.
1298	Joseph Grifford	The group of friend's homeroom teacher who teaches them the lesson of lifelong learning as opposed to success for money.
1299	Bob Thorn	One of Redford's group. Bob is not the smartest but he has an intuitive sense of how people feel.
1300	Harry Stone	The principal who actively dislikes Redford's group of friends. When Mr. Grifford befriends them, he threatens his job.
1301	Kareem Hassan	All Kareen wants in life is to have a family but he lets his emotions get in the way of himself.
1302	Pentu Maroosh	Pentu means well but just doesn't have the book smarts to make it in life they way society expects him to.
1303	Vincent Quasding	Vincent acts out because of his terrible family life but deep down has a good, true heart.
1304	Truman Harrison	A man who lived a tough live but decides to spend some time doing good things now that he's sick.
1305	Selma Hawkes	A doctor who likes to see her patient improving but doesn't like his methods.
1306	Kenan Letty	A diseased patient who wants to survive no matter the cost.
1307	Derek Redwood	After the death of his husband, Derek is looking to restart something in his old passion - kickboxing. His only option is a poor waitress.
1308	Jane Grill	Jane has always been a fighter but has a confidence issue that has landed her as a waitress for the past 5 years.
1309	Kendra Grill	Kendra, Jane's daughter and a rambunctious middle schooler, has lovingly manipulated Derek into taking Jane under his wing.
1310	Gerry Rufus	Gerry is Derek's business partner, looking to find ways to keep them in business after Derek fell into a depression.
1311	Evergreen Clump	A high school trackstar who has lost his way. He's been through war, politics and marathons but is missing the one thing he could never catch - love.
1312	Karla Mole	Evergreen's best friend from high school. He's always been in love with her but could never find a way to make it work.
1313	Chris Julimo	A single dad who wants to do what is best for his son. After losing everything to the fire he is grasping for straws to rebuild his life.
1314	Dwayne Julimo	A nice kid who wants the best for his dad but isn't sure how to help.
1315	Radu Ilk	A tough boss who doesn't like nonsense but appreciates a good work ethic. He decides to take a chance on a man with drive and a tough past.
1316	Linda Right	A tough woman who wants the finer things in life, especially at the expense of others.
1317	King Roghan	The king of Ireland. He has trouble speaking but has many things he must say to the public as he ascends the throne.
1318	Derek Equer	A man with confidence who has always challenged Roghan in his life to do better. He is tasked with getting improving the King's public speaking.
1319	Queen Beth	The Queen of England and a loving wife.
1320	Archbishop Lang	The strict religious lord of the realm who does not approve of the king's new venture.
1321	Brad Cohn	A dedicated man who wants to overcome his personal obstacles. He finally manages to set his life in order and improve the lives of people around him.
1322	Ellen Heat	The school principal. An impassioned lady who truly cares and easily falls in love.
1323	Boris Drews	An older man with a penchant for cruel pranks.
1324	Mike Pone	A distinguished gentleman who likes teaching his mistakes to younger people.
1325	Kai Chaiwalla	Kai is a teenage genius who found a way to get on an adult game show with a huge cash prize. He wants to win to provide for his family.
1326	Jasmin Matur	Jasmin is Kai's girlfriend only supporter in his cause. She must fight his battles on the outside while he battles for the win on the game show.
1327	Owen Folton	A man born and raised in captivity who dreams of making his way out. He was an athletic icon within the shelter.
1328	Red Jones	A low-key woman who will do whatever it takes to survive and get out of the shelter after suffering claustrophobic panic attacks.
1329	Trickster	The trickiest of the villains of the squad, she's spunky and can kick any of the other guy's asses if they make the mistake of offending her.
1330	Sniper	His name says it all. He fell in love with .50 cal sniper rifle and doesn't go anywhere without it.
1331	General Dimp	Dimp is a shapeshifter that prefers amphibious animals. Get on his bad side and you might find yourself in a mouth full of teeth.
1332	Mercator	The one bad guy that they can't seem to catch. He can even evade the other supervillains with his devilish cunning.
1333	Dr. Steve Sturns	One of the smartest men on Earth. If only he could get out of his military lab and do his own research in peace.
1334	The Bulk	Sturns' alter ego and dark part of himself. Whenever he gets sad, a mean alien form emerges to hurt all those who offend him.
1335	Melissa Lovejoy	Melissa is married to Steve in a deeply loving relationship but when he changes form in front of her, she decides to run for her life.
1336	Gunther Zing	Steve Sturns stepfather and only friend in his time of crisis. Gunther is willing to lie, deceive and even kill for him.
1337	Milfred Vonnels	Part of the government military structure, he's got a passion for alien biology and technology. He wants to chase Bulk down and use him for weaponry.
1338	Mr. USA	A man brought back from the dead to become the military's first genetically enhanced supersoldier. If only they could control his mind.
1339	Cherry Pickins	Mr. USA's widow - she goes on a quest to find her husband when he goes missing after not coming home one day after work.
1340	General Flores	The General decided to choose a normal man from a nondescript background for the test thinking it would go unnoticed by his enemies.
1341	Rick Horus	Mr. USA's friend from childhood. When he decides to help Cherry find him, he also gets roped into the program.
1342	Cobra Khan	General Flores' arch rival. He wants to give Mr. USA a better life where he can fight crime and have his family too.
1343	Sonny Biggs	Sonny was kidnapped by a rogue government and experimented on. Little did they know he would take control of their labs and create his own supersuit.
1344	Sally Tang	Sally is the VP of Sonny's very, very wealthy company and must run it while Sonny is missing in action.
1345	Randy Smackle	Randy is one of Sonny's other company executives - he's been going behind the company's back to fund terrorist acts.
1346	Stan Burkington	A robot from the future has come to destroy him. He is on the run for his life when he literally bumps into a second robot sent to protect him.
1347	Techbot 889	Techbot 889 or just Tech, is a robot from a distant future sent to ensure that Stan survives the next 10 years of his life.
1348	Wreckor	Wreckor is futuristic robot capable of superior technology. Tech must use effective but old school ways to take him down.
1349	Deema Earl	A trained soldier who longs for a better life. Though he is trained to kill, he has a soft spot for beautiful girls.
1350	Radna Willos	A native Alien and the toughest member of her tribe. She cares deeply about her planet and will do whatever it takes to save it.
1351	Captain Silks	A space military commander who wants to conquer the planet and does not mind wiping out an entire species to achieve his goals.
1352	Princess Balamala	A princess once destined for greatness who now the secret leader of the uprising against the oppressive forces of the legion.
1353	Bobby Wan Benobi	An old knight with special powers and an awesome sword of energy. He is looking for a chosen one to push their fight forward.
1354	Duke Walker	A young farm boy who dreams of adventure but must stay to help his uncle.
1355	Pan Yolo	An intergalactic smuggler with a low price-tag and an even lower reputation.
1356	Garth Hator	An evil lord who controls the legion and wants to preserve his power at all cost.
1357	Flick	A man of an alien race that has joined humanity in its quest to find life outside of its galaxy. His race is way more intelligent than humanity.
1358	Dane D. Torque	The captain of the UKK Wringer. He must lead his crew from the dangers of another galaxy to safety in their own.
1359	Damon Spear	One of the UKK's oldest crew members, he is essential to keeping the morale of the crew up and sharing his depths of knowledge with the captain.
1360	Dr. Sity	The ships medical officer and most depressed crew member. He knows what needs to be done and gets it done but it doesn't mean he has to smile.
1361	Cap Ramdo	The enemy admiral from the Xeoa Galaxy. After slighting him in a local sporting game, he has decided to chase down the UKK Wringer and slay them all.
1362	Vinny Lou	Vinny was just a young man looking to find an easy path to the top. He stole the genetic code of someone to give himself an advantage in the world.
1363	Paul Gorra	A part of the galactic police force, he must track down and find the man who committed genetic theft. But the galaxy is big and humans are small.
1364	Danielle Vera	Danielle falls in love with Vinny only to find out he is not the man she thought he was. Will she try to understand or give him up to the police?
1365	Eric Layu	A man that looks like the man whose genetics Vinny stole. He is involved in a drama that has nothing to do with him.
1366	Admiral Brokis	Vinny forges a friendship with an Admiral pretending to be a man that he is not. Will this man become an enemy or a friend?
1367	Tyron McFieldson	Tyron lost his memory after a head injury. It turns out he might be the only person with the knowledge to fight back, if only he could remember.
1368	Bella	Bella is an escaped captive of the strange creatures who has some serious battle skills.
1369	Jim Wank	An unknown gaming nerd, he wants to find fame and fortune by playing Last Man Alive but whose mind changes once he meets an online celebrity.
1370	Red Douglas	An online celebrity whose claim to fame is the fatalities she deals within Last Man Alive. Her fate changes when Jim tries to court her.
1371	Faye Erns	The creator of Last Man Alive. He structured it on his life in the military. He's said to have hidden a special treasure chamber in the world.
1372	Orwell Smith	One of the other top players of the game. He's set on taking down and killing Red Douglas to take the grand prize for himself.
1373	Abraham Klin	Abe wakes up to find himself in a science facility. He's being kept alive by the scientists there to relive his last moments to find a murderer.
1374	Claire Ria	Claire is one of the other hostages in Abe's last memories. He gets to know her very well as he relives those last 2 hours over and over again.
1375	Raquel Banalio	Dr. Banalio is the head of the physics lab that found the neurological breakthrough. She is trying her hardest to get Abe to figure out what happened.
1376	Leo Anderson	A bored office worker and hacker who knows there is more to this world than he is currently seeing.
1377	Trisha While	A sexy woman wearing leather clothes and beautiful tattoos. She wants to snap men out of their comfort zone.
1378	Morph Seus	A strong leader who wants to save himself and the world.
1379	Agent Bill	A bartender computer program gone rogue within the virtual reality. He wants to destroy everything using his varieties of alcohol.
1380	James Bernard	A resourceful astronaut with a strong will to live. After his comrades go rogue, James must fight for his survival against the harsh environment.
1381	Lena Hoth	The loving wife who believes her husband is still out there, even if nobody believes her.
1382	Joseph Stanislav	A fellow astronaut who decides to try his luck out in the wildlands of Mars. It does not go well.
1383	Jennifer Dole	The NASA scientist back home who helps figure out nifty survival techniques.
1384	Lucas Dinker	He is the most junior soldier in the squad but will eventually show his leadership skills when the time calls.
1385	Robtron	One of the tech-animals of the planet - Lucas befriends him not only to defeat his human enemies but to take out evil on the planet.
1386	Minnie Vixen	Lucas' lieutenant, she thought he was a geek and wanted nothing to do with him until they were stranded together on an alien planet.
1387	Mechabon	An evil tech-animal that is seeking out Robtron to gain intelligence on his enemies.
1388	Hiro Kirita	Hiro is the first of his schoolmates to mobilize against the aliens invading his city. He commandeers a military robot to fight back.
1389	Shiori Kagawa	Shiori is Hiro's love interest. It turns out she's the most skill robot pilot to have ever lived.
1390	Yuki Nasamuke	Yuki is Shiori's best friend. She hates fighting but is willing to join her friends but only because she has a major crush on Hiro.
1391	Ichiro Hudeski	Ichiro is Hiro's adopted older brother. A tech genius, he keeps the teens abilities secret from Japan's government to allow them to keep fighting.
1392	Garth Minx	Garth and his older professor friend embark on an adventure across time and space when Garth his a mid-life crisis.
1393	Doctor Fly	A crazy professor with lots of genius. He has always been obsessed with the concept of time and wants to create a way to travel through it.
1394	Lina Toth	A high school cheerleader, she is the prettiest and most popular girl in school. But the fact that she is from a different decade causes problems.
1395	Plymon Teach	When his classroom teaching aide robot runs off, Plymon launches his own investigation into the company that makes them.
1396	Cory Cool	In Plymon's investigation, he runs into Cory, another man who had his house robot start doing weird things.
1397	Mandy Rickets	Mandy Rickets is a young intern working at the robotics company who is convinced by Plymon and Cory that something fishy is going on.
1398	Gordon Spanner	Cold and rough, cares nothing but his own profit.
1399	Frank Riley	A seasoned android hunter who doesn't take time to truly analyze his own feelings about his actions.
1400	Gina Brooks	An android on the run from the law. She has developed feelings almost at the human level.
1401	George Hoth	An older man with a lust for power. He loves hunting androids.
1402	Jenna String	A tough survivor not afraid to get her hands dirty.
1403	Tim Dane	A simple man with a funny way to look at things. He tends to get himself into unusual situations.
1404	Dilbert Ross	A traveling alien with deep knowledge about the galaxy.
1405	Kim Kahn	A brutal killer looking to take out the enemies of his bosses for a hefty price.
1406	Ro-ro	A robot programmed to be as cynical as possible to ensure his own survival.
1407	Endie Dole	A young boy recruited for training against an alien menace. His prowess at commanding battleships gets him a lot of enemies, but also a few friends.
1408	Commander Milk	A wise commander who refuses to believe that the fate of his planet rests in the hand of a young boy.
1409	Orwell Path	A tough trainer who believes the best way to improve his pupils is to break them down completely and rebuild them from scratch.
1410	William Brave	A Scottish man's world is shaken upside down when his wife is murdered by a lord. He vows to avenge her and embarks on a crusade to kill them all.
1411	Princess Beaumont	A French princess who is married to the pathetic English prince. She forms an admiration for the Scottish rebel and begins a secret affair with him.
1412	Barron McPatrick	An upper-class Scottish noble who struggles between fighting for freedom or submitting to the English King.
1413	Ginny Jane	Ginny is a big disappointment to her father. He wants her to become a writer but all she wants to do is figure out how people think.
1414	Billy Gerbils	Billy is a poor guy in Ginny's town that has admired her from afar. When she runs away from home, he houses her and a romance grows.
1415	Rachel Jane	Rachel is Ginny's supportive mother who tries to balance a home life between her rebellious daughter and angry father.
1416	Dick Richards	One of Ginny's teachers who sees her potential and slowly convinces her of the skills she thinks she doesn't have.
1417	Serpentina	Serpentina is the ruler of the Nile delta. She is ruthless and will not any nation or any man get in her way.
1418	Gregor the Good	Gregor of the Britons want the Nile for himself and will try to use his wits to manipulate Serpentina.
1419	Neal McKnight	Neal is supposed to be the emissary for Greece and negotiate a peace treaty - instead he is smitten by Serpentina's beauty and smoldering attitude.
1420	Jude Lancaster	Jude is a junior politician for the Nile, orphaned as a child of Greek heritage, he is expected to negotiate peace for the region.
1421	Lord Tudor	A lord in the British royalty and confidente to the King. When the King decides to remarry, his whole world is thrown into turmoil.
1422	Lady Tudor	Married to Lord Tudor, she is the brains behind their whole operation. Can she navigate the new political realm?
1423	Queen Victoria	Queen Victoria is being divorced by the King, can she stop this madness or will she have to rebuild her entire life?
1424	Geisha Matsuro	Gifted with a knack for writing, she is forced to become a courtesan but nevertheless writes down her memories.
1425	Iro Sitsukabe	A man of artistic sensibilities who finds love in the place he expects it the least, but he must deal with societal repercussions.
1426	Miko Vatasaki	A greedy Geisha jealous when others succeed. She will do whatever it takes to to get her way.
1427	Conitsara Muritaka	A wealthy man who appreciates the finer things in life. Despite his age, he longs for a youthful romance to remember old times.
1428	Bin Fang	Bin has joined the palace staff of the emperor looking to find a better life for herself. Instead she gets swept up in the politics of the nation.
1429	Gao Feng	Gao is the emperor of China and has many difficult decisions to make if he is to ensure his rule for the next decade.
1430	Ruodeng Rui	Ruodeng falls in love with Bin at first sight. He unintentional pulls her into the dangers of emperial politics.
1431	Tantan Ouyang	Tantan is the emperor's right hand man. He hates the terrible things he has to do but he is completely loyal to the throne.
1432	Weisan Huang	Weisan is of a rival clan to the throne and slowly corrupting officials throughout the emperial hierarchy.
1433	Esmeralda	A beautiful dancer who mesmerizes crowds with the way she moves. Flirty and joyous, she longs to make a better life for herself and her family.
1434	The Hunchback	A shy man hidden away atop a church because of the way he looks. A kind and gentle soul, he wants nothing more than to find true love.
1435	Fredo	The church bishop, a small-minded man who think all should follow his rule. He longs for love himself but knows he cannot have it.
1436	Edna Wilford	Edna has always been shallow, but when she meets a man who changes her view on life, she must decide what she wants to give up.
1437	John Swell	John meets Edna at a ballroom dance - he was a waiter. He completely changes her life for the better. But he's got demons in his closet too.
1438	Mildred Oliver	Edna's mother who wants nothing but for Edna to marry into a rich family to help move their family up in society.
1439	James Cromwell	James is Edna's suitor, personally picked by Mildred. He's old and pompous and Edna cannot sacrifice what might be with John for him.
1440	Elva Rose	A caring woman who loves to help anyway she can. She may not have been the most beautiful on the outside but her beauty shone like the on the inside.
1441	David Flims	A disgruntled man who struggles to step outside his own art. He took up the challenge of painting the internal beauty in Elva.
1442	Casanova	A man famous for his ability to bring any woman to submission. He plays the macho, but deep down he longs for true love.
1443	Lady Bellford	A beautiful woman who refuses to submit to any man. She enjoys watching men grovel at her feet.
1444	Counselor Carovin	A very wealthy, bitter old man who does not like being taken for a fool, especially when his money is at stake.
1445	Duchess Savoy	One of Casanova's victims, she loves him very much and wants to keep him happy, even if it means giving up on her love.
1446	Lady Quineth	A seductive woman who wants nothing more than to rise through society and amass power.
1447	King Edward	A sad man who wishes he had an heir, and resents his barren wife for it.
1448	Queen Victoria	The king's wife. She feels terribly upset because she can't give birth to an heir.
1449	Crazy Carl	A lone warrior who drives like a mad man and can handle a gun easily.
1450	Metrusa Dosk	A high priestess who betrays her leader and decides to escape along with her best friends.
1451	Imperator Varush	A monster of a man with huge muscles, white skin, and a terrifying thirst for blood.
1452	Leo Salzena	A local hitman who acts very childish but is extremely skilled at killing. Despite circumstances, no one suspects him due to his tomfoolery.
1453	Lisa Kunz	A stranded child whose family has abused and abandoned her. She has vowed to take revenge on them and their deadly friends.
1454	Detective Greggs	An evil drug lord who is fully corrupted and addicted to drugs he peddles. He is pitted against Leo in a cruel twist of fate.
1455	Bathero	As a young man, he saw his parents being gunned down by criminals. He has since used his considerable wealth to fight against all sorts of criminals.
1456	Three-Face	A populist politician who is trying to rid the city of crime. When he loses the love of his life, he turns evil and tries to hurt innocent people.
1457	Detective Briggs	An old detective beaten down by the grind of daily police work. He knows the city needs cleaning up but he is too tired to do it alone.
1458	The Clown	A chaotic man with scars shaped into a smile. He has gone mad and wants to watch the world burn.
1459	Daimyo Satoshi	A rebellious teenager who is angry at the system and doesn't want to follow the rules. When placed in a dangerous situation, he finds his true calling.
1460	Noki Yamagosho	Always the most popular girl in the class, she must now fight for survival against her peers. Can she find love in these dark times?
1461	Toshi Nakamura	A survivor of the previous competition, his only aim is to kill and he is not afraid to get his hands dirty for that purpose.
1462	Fredford Kluger	Fredford found out at a young age that he could see people's dreams and inner thoughts, wants and conflicts. He uses these to benefit himself.
1463	Josephine Myers	Josephine is Fredford's intern who has the innate ability to dreamwalk but needs Fredford's guidance to master it.
1464	Hiroshio Watsu	Hiroshio is Fredford's practice target for Josephine. Things get complicated when they find out he can dreamwalk too.
1465	Therese Marquis	Therese is Josephine's best friend and sucked into a world of darkness, power and deceit.
1466	Ricardo Gizeppi	A grunt in the New York mafia, he just wants to live day to day. When he becomes a father to his brother's son, he's not sure he can do it.
1467	Michael Gizeppi	Ricardo's brother who was killed in a car accident. He named his brother godfather and protector of his son in his will.
1468	Consigre Vatushi	Ricardo's best friend in the mob who already has a family. He must teach Ricardo what it means to be a dad and raise a son.
1469	Detective Silk	A young newlywed with a bright outlook on life. He is new to this police force and wants to prove himself, but he has a lot to learn.
1470	Detective Star	An older, cynical police detective who has seen some of the worst crimes of the city, but this killer is proving to be too evil to catch.
1471	Gaston Walton	A strange child obsessed with the scent of young women. How far will he take his obsession.
1472	Charlotte Fourneaud	A beautiful woman intrigued by things she cannot understand.
1473	Monsieur Falloche	A master perfume maker who wants to pass on his knowledge.
1474	Elize Rucron	A farmer's girl who imagines a better world for herself.
1475	Patrice Larue	A disgruntled aristocrat who wants to take down those more talented than he is.
1476	Bob Hoss	A mogul, Bob, accidentally murders a man in a drunken stupor.  He tries to cover it up but the authorities let him go because of his status anyway.
1477	Wilma Orleans	A lovely woman who is part of the middle class. She dreams of some adventure and gets swept into chaos when her friend Bob gets in trouble.
1478	Stein Williamson	An old man who has nothing left to lose, goes on a long journey to find the man who killed his son.
1479	Daniel Storm	A depressed man tired of his life and job, he begins fighting his way out of his sadness.
1480	Tyler Burden	A wild man who always seems to say the right things. He has the idea to start a special club but things quickly get out of hand.
1481	Larna Vilford	A promiscuous woman with some bagage of her own. She loves getting attention more than anything.
1482	Eric Dibbs	A sinful accountant who always longed for excitement, but has he gotten more than he bargained for?
1483	Jimbo Wing	A famous cardiologist who is a bit too confident for his own good. He doesn't know how good he has it.
1484	Detective Lulz	A motivated investigator on the hunt for a brutal serial killer. He is closing in on the killer, but could this all be a trap?
1485	Jigsaw Man	A man given a death sentence by his doctor in the form of cancer. He becomes jealous of those who don't appreciate life enough and begins forming cruel traps for them to appreciate it again.
1486	Clara Jones	A newly graduated FBI agent tasked with solving an incredibly complicated case. She uses psychology to achieve her goals.
1487	Hanniford Liex	An infamous serial killer famous for eating his victims over several decades.
1488	Joseph Jackson	A low-life drifter with little remorse or compassion for others. He does what he pleases when it pleases him, but can he be taken advantage of?
1489	Pam Linge	A bored wife who wants some excitement. When she finds the man of her dreams, she lets her wild side out.
1490	Colin James	The cuckold husband who is friendly despite being constantly being taken advantage of.
1491	Stormy Harriet	A restaurant patron who stumbles upon the affair and tries to get a little extra cash through blackmail.
1492	Winnie Ping	An incredibly smart man with photographic memory and superior analytical skills. He intentionally gets arrested so that he can help his brother.
1493	Donnie Ping	A brutal man who doesn't mind a good fight now and then but wants to protect his brother at all costs.
1494	Dr. Clarke	The prison doctor. She is compassionate and wants to help, but needs to keep her job.
1495	Fred Dollar	An irresponsible person who belongs in prison. He always finds new ways to get in trouble.
1496	Miley Punk	A young wife who feels trapped in her marriage and starts resenting her husband-.
1497	James Flack	A failed writer who turns bitter and takes it out on his wife. When she goes missing, he doesn't know how to handle it.
1498	Joseph Horn	A good friend who isn't afraid to tell the truth when it matters the most.
1499	Kim Stones	A police detective tasked with finding out the truth regarding the missing woman.
1500	Frank Mannybail	Frank is a young con-artist with amazing skills. When he cons the wrong man, his life turns into a game of cat and mouse.
1501	Jenna Rolls	Jenna falls in love with Frank while he is pulling a con on her best friend. When she finds out his dark past, she must decide whether to stay or run.
1502	Dante Grant	Dante is a CIA agent that happened to be subject to one of Frank's cons. He is smart and driven and will chase Frank until the end of his days.
1503	Seargeant Ilks	Ilks is Dante's right hand man and doesn't mind doing the dirty work.
1504	Rodney Roads	Rodney is Dante's boss who thinks that this is case is too personal and actively wants to get Dante transferred.
1505	Arthur Heystead	Arthur is an environmentalist that stumbles upon what he thinks is pirate booty. He takes it and incurs the wrath of the evil man who buried it.
1506	Earl Waterfront	Earl has been chasing Rodrigo for a decade, never quite getting the right clues. Arthur helps him reopen the case and the trail.
1507	Wilma Owles	Wilma is Arthur's loving wife that helps in trying to run from Rodrigo but she has no idea how serious the situation is.
1508	Rodriguo Esteban	Rodrigo is the man you never want to mess with. With no strings or family to the rest of his life - he dedicates every minute to evil deeds.
1509	Detective Jonsson	A thorough detective who can crack the toughest cases. He is tender at heart but shows up when you need him.
1510	Lina Svej	A troubled woman with incredible skills on the computer. She has struggled with depression but is trying to move on.
1511	Staffan Lund	A perverted guidance counselor who takes advantage of women whenever he can.
1512	Martin Beck	An evil rich man who has developed a taste for killing innocent people for a nasty habit. Will he find his pursuers before they find him?
1513	Detective Almond	A tough, loyal detective who needs to find the truth, even if he puts his own life in danger.
1514	Joseph Gillinger	A crooked cop on the payroll of most wise guys in town. But deep down he is hiding a soft side that will lead him to search for the truth.
1515	Officer Matron	A career police officer with the utmost respect for the law and an unbending will. He needs to catch bad guys and is really good at it.
1516	Vinne Strong	Previously a special forces soldier, he now works as a hitman for the top criminals in the world. When his mentor is killed, he must avenge him.
1517	Benjimin Miles	An evil criminal intent on killing his enemies. But can he be convinced to see the light?
1518	Manny Frill	An older man and a true mentor. He has taught soldiers how to adapt to civilian life for many decades.
1519	Jenna Willis	Lovely and cute, she is the perfect girlfriend but a bit naive at times.
1520	Professor Death	A terrible man with too much wealth and power. To find excitement, he is now trying to get rid of all his potential threats.
1521	Willis Steele	Willis' uncle was killed in with no suspects or leads. He takes the case into his own hands and publishes the story online to help find the culprit.
1522	Steven Corn	Steve is the lead detective on the case. It's incredible at how clean each crime scene is and is making his job super difficult to do.
1523	Lizzie Steele	Willis' wife who really does not want him to put himself in the spotlight. The killer is still out there and he's putting a target on himself.
1524	Adam Jones	The town reporter and journalist who is trying to make a story happen even if some truths are stretched.
1525	The Z Burglar	An elusive killer who is purposely toying with the authorities, Willis and Adam. No one knows who he is or what his motive is.
1526	Gary Willis	A handsome man with a thirst for life. He will do whatever it takes to survive.
1527	Rufus Hunt	A police officer with the ability to think clearly, even during stressful situations.
1528	Lisa Elks	A concerned citizen who wants her crush to really make it through this situation.
1529	Jimmy Pho	A loyal bystander who is quick with a joke or to light up your smoke.
1530	Stephen Dundee	A loving father who is forced to protect his family against a gang set on taking his stored riches from their house.
1531	William Dundee	The brainy kid who knows how uses his smarts to get out of tricky situations. He has a tender heart but is made to realize the world is a harsh place.
1532	Carlos Stevenson	The older brother who lacks discipline and willpower. This all changes when he's confronted with a life or death situation.
1533	Ada Styles	The leader of a gang who found out a man likes to store his wealth in his basement. She plans to take the money on the one day she legally can.
1534	Slick Yolo	Professional hustler and con artists. He has a knack for parting innocent people with their hard-earned cash.
1535	Tina Ork	A strong-minded woman who takes what she wants and feels no remorse.
1536	Detective Klone	A federal investigator skilled at devising creative solutions to catch criminals.
1537	Shaniah Swing	A somewhat ditsy lady of the night who is looking for a way to make it big time.
1538	Boss Flow	A crooked politician using criminals to do his bidding while trying to stay clean in the spotlight.
1539	Joseph Marks	A criminal mastermind looking to lead one final gig before retiring.
1540	Charlotte Thone	One of the best diamond thieves in the world, she longs to find true love and wearing some diamonds herself.
1541	Vinnie Corn	An elder thief with lots of experience behind him. He can see the flaws in any clever plan.
1542	Cory Hines	A master thief who wants to keep the entire score for himself. He trusts nobody and is not afraid to use violence.
1543	Tim Stones	Patrolling the streets of New York will make a good driver out of anyone. When a criminal goes after his family, he takes the law into his own hands.
1544	Eric Gas	A muscular man with a muscle car. He drives fast, pumps iron, and makes funny jokes.
1545	Lexi Huntington	A sexy woman not afraid to handle a stick shift. She likes fast cars, loud music and a good time.
1546	Colin Snipes	A wanted criminal who always seems to be able to escape the law. When cornered into a trap, he decides to join them instead.
1547	Frank Line	A motorcycle cop relegated to a desk assignment. He longs for the open road again and decides to start boosting cars.
1548	Gore Stotingher	A trained killer who does not question his orders, but deep down he hides a tender soul.
1549	Wei Fun	A beautiful woman from the far east. She is sexy and knows how to handle a gun.
1550	Marcu Raton	A French ambassador on a very important diplomatic mission. He has been tasked with covertly finding the kidnapper of a high profile Frenchmen.
1551	Jet Hun	A wicked man whose lust for power knows no bounds. He is looking to kill Gore after he defies his orders to kill more than was first agreed upon.
1552	Dick Cassidy	Dick owns a hotel in Hong Kong. A lot of people come through his casino but his life is sent into array when a likable man comes in seeking asylum.
1553	Elsa Muntz	Elsa is the girl that Dick always wanted and now he's got her. She works in his casino at a craps table.
1554	Herr Kommandant	Kommandant is chasing a runaway soldier from the Germany army. He cannot prosecute him in Hong Kong but will do his best to arrest him nonetheless.
1555	Victor Haslow	Victor has deserted the German army after seeing his superiors commit murder. He has fled to Hong Kong to try get asylum through Dick's hotel.
1556	Carl Rogue	Everyone thinks he is just another boring insurance salesman. The Bolivian, however, is a trained agent capable of accomplishing almost any mission.
1557	Ophelia Rogue	The perfect wife on the outside, she is really a trained professional assassin who struggles to keep in touch with her roots.
1558	Zane Ding	A young man who gets involved in both their investigations. Is he friend or foe?
1559	Phillip Knowles	An older gentleman who puts crown and duty above everything else. He is a natural leader and ready to take on the toughest mission of his career.
1560	Timothy Egers	A young apprentice who wants nothing more than to become a real full-fledged spy.
1561	Mickey Weak	A stuffy librarian who helps the team come up with newer and better gadgets.
